"Знаете ли вы, как зовут почтальона Печкина?",Полное имя почтальона Печкина - Игорь Иванович Печкин. К нему по имени обращается мама дяди Фёдора во втором мультфильме про Простоквашино.
"Лоскуток на лоскутке - зеленые заплатки, Целый день на животе нежится на грядке.",Капуста
"Где есть реки, но нет воды, есть города, но нет зданий и есть леса, но нет деревьев?",Географическая карта
В одной семье у двух сестер по одному брату у каждой. Сколько всего детей в семье?,Всего 3 ребенка: две сестры и брат.
"Близко к ней не подходи, Дружбы с ней не заводи. Осторожно! Берегись! Этот зверь лесная …",Рысь
"На столе лежат три кучки из 11, 7 и 6 спичек. Перекладывая спички из любой кучки в любую другую, нужно сделать так, чтобы в каждой было по 8 спичек. При этом к любой кучке разрешается добавлять ровно столько спичек, сколько в ней уже есть. Задача решается в три хода.","1. Перемещаем 7 спичек из первой во вторую кучку: (4, 14, 6) 2. Перемещаем 6 спичек из второй кучки в третью: (4, 8, 12) 3. Перемещаем 4 спички из третьей в первую кучку: (8, 8, 8)"
"Не ёж, а пыхтит, не змея, а ползет.",Паровоз
"Маленький, кругленький, а до неба докинешь.",Глаза
"Ножка деревянная, Рубашка шоколадная. На солнышке я таю, Во рту я исчезаю.",Эскимо
"Одну меня не едят, А без меня редко едят.",Соль
"Его машина вся в броне, Как будто черепаха. Ведь на войне как на войне, Здесь не должно быть страха! Ствол орудийный впереди: Опасно! Враг, не подходи!",Танкист
"Объясняю малышу, Чтобы не было ошибок: Зверь я, воздухом дышу, Но похож на крупных рыбок. В ватерполо я ловкач И с детьми играю в мяч.",Дельфин
"Не король, а в короне. Не гусар, а в шпорах. На часы не взглянет, а время знает?",петух
"Не море, не земля, Корабли не плавают, А ходить нельзя.",Болото
"Шумит, гудит целый век, а не человек.",Ветер
Один костер весь мир согревает.,Солнце
"Бел, а не сахар, Нет ног, а идет.",Снег
"Я могу быть в толпе, но всегда отличаюсь. Что я?",тень
"Друг на дружке ровно в ряд Эти кубики стоят, В каждом есть окно и вход, В каждом кто-нибудь живет",Многоквартирный дом
С буквой к праздник оли превратился в ...,Праздник коли
"Даже по железной крыше Ходит тихо - тише мыши, На охоту ночью выйдет И как днем вокруг все видит, Часто спит, а после сна - Умывается она.",Кошка
12345 вышел винтик погулять,фиксики
"Кто заботливей мамаши Наших деток бережет? Им кладёт в тарелки каши, В чашки сладкий льёт компот? Кто, спины не разгибая, Моет пол и пыль гоняет? Кто всегда нам помогает, Выручает нас не раз? Если в зал нас собирают, Посидит с детьми в сончас? Если в группу вы зайдёте, На вопрос ответ найдёте: Всю заботу и вниманье Дарят детям наши... !",Няни
"Ни окон, ни дверей - Полна горница людей.",Огурец
"В садочке есть плод, Он сладок, как мёд, Румян, как калач, Но не круглый, как мяч, - Он под самой ножкой Вытянут немножко.",Груша
"Из спичек выложено неверное равенство 6*8=64. Надо убрать 2 спички так, чтобы равенство стало верным.","Ответ на рисунке - из восьмерки делаем девятку, а из шестерки пятерку."
"Нас называют как зверей, Которых нет в лесу хитрей, Хотя мы сами – из грибов. Так кто же мы, - сказать готов?",Лисички
До чего ж цветок пригож - Он на солнышко похож.,Ромашка
"Я – в царстве луж, в краю огней и вод. Я – в княжестве крылатого народа, Чудесных яблок, ароматных груш. Скажи, какое это время года?",Осень
"Арбуз не арбуз, А медовый на вкус.",Дыня
"В этой форме темно-синей Защищает он страну, И в огромной субмарине Опускается ко дну. Охраняя океан, Был в портах десятка стран.",Подводник
"Не машет крылом, а летает. Не птица, а птиц обгоняет.",Самолет
"Напиток из ягод, Но только не морс. Какой же тогда, - Вот какой к вам вопрос.",Кофе
"Мне ответьте детки на вопрос, Только посоветуйтесь с друзьями, Кто имеет увлажненный нос И на свет рождается с усами? …",Котёнок
"Это ухо съедобное, потому что оно из хлеба. О каком блюде идёт речь?","Пельмени. Слово «пельмень» произошло от удмуртского «пель нянь», что означает «ухо-хлеб». До сих пор в удмуртских деревнях словом «пельнянь» называют пельмени."
"Малиной обедает. Где мёд, ведает.",Медведь
В каком случае верно равенство 18 + 18 = 12?,Когда речь идёт о времени суток.
"В театре работает, Одежду бережёт, Он гладит и штопает, Блёстки крепит, шьёт. Актёру примеряет Пиджак, например, Его профессия …",Костюмер
Что вверх корнем растёт?,Сосулька
"Он бревно отешет ловко, Стены сделает, навес. У него смолой спецовка, Как сосновый пахнет лес.",Плотник
Приезжайте в Антарктиду! На родном материке Я гуляю с важным видом В черно-белом сюртуке.,Пингвин
"Вишу в прихожей, На грабли похожа.",Вешалка
"Ешь, да пей, Да гостям налей, И коту не пожалей!",Молоко или кефир
"Не обижен, а надут, Его по полю ведут. А ударят - нипочем Не угнаться за …",Мячом
"Постарайся, угадай, Что это за край: Все кругом белым-бело — Снегом белым замело. Валит снег из низкой тучи, День и ночь мороз трескучий. Ветра свист, метелей вой — Край холодный, ледяной.",Арктика
Дюймовочки жених слепой Живет все время под землей.,Крот
"Сильнее солнца, Слабее ветра, Ног нет, а идет, Глаз нет, а плачет.",Туча
"Плещет теплая волна, Под волною белизна. Отгадайте, вспомните, Что за море в комнате?",Ванна
"Морское звание имеет, При встрече честь не отдает. Служить на флоте не умеет, А отправляется в полет.",Бабочка адмирал
"За стеной костяной, соловейко, спой.",Язык
"Из спичек построен дом. Переложить две спички так, чтобы дом повернулся другой стороной.",на рисунке
"Сердитый недотрога, Живёт в глуши лесной, Иголок очень много, А нитки ни одной.",Ёжик
"Сколько лет трем сестрам, если: Умножение их возрастов дает число 36. Сложение их возрастов дает 13. Только старшая — блондинка.","9 лет старшей сестре и два близнеца по 2 года. Решение. Умножение их возрастов дает 36, то есть это одна из восьми следующих комбинаций: 36 = 2 × 3 × 6, сложение этих цифр дает число 11. 36 = 2 × 2 × 9, сложение этих цифр дает число 13. 36 = 4 × 9 × 1, сложение этих цифр дает число 14. 36 = 4 × 3 × 3, сложение этих цифр дает число 10. 36 = 18 × 2 × 1, сложение этих цифр дает число 21. 36 = 12 × 3 × 1, сложение этих цифр дает число 16. 36 = 6 × 6 × 1, сложение этих цифр дает число 13. 36 = 36 × 1 × 1, сложение этих цифр дает число 38. Остается два варианта ответа, поскольку 2 + 2 + 9 равно 13, и 6 + 6 + 1 — тоже. Замечание: «только старшая - блондинка» — позволяет узнать о том, что есть старшая дочь, не имеющая близнеца. Итак, нам подходит только первая формула."
"Ты мне, ну прямо как сестра, Мы в месте и гуляем и играем и делаем уроки в месте мы с тобой...",подружка
Какая нота и продукт называются одиноково?,Соль
"В гости к бабушке пошла, Пироги ей понесла. Серый Волк за ней следил, Обманул и проглотил.",Красная шапочка
"Летит, а не птица, Воет, а не зверь. Тучи нагоняет, Воет, задувает. По свету рыщет, Поет да свищет.",Ветер
"Белый, мягкий и пушистый Он зимой живёт в лесу. Словно лист весь затрясётся, Завидев волка иль лису.",Заяц
Птичку эту все мы знаем - На шесте у нас живёт. Как природа расцветает - Песни дивные поёт.,Скворец
"На контрольной даст списать, С ним всегда легко болтать. Если надо, даст совет, Знает мой любой секрет.",друг
"Не ботинки, не сапожки, Но их тоже носят ножки. В них мы бегаем зимой: Утром — в школу, днем домой.",Валенки
"Он летит с обрыва вниз, О камни разбивается. Громче зверя он ревёт, И в пену превращается.",Водопад
"Толстяк живет на крыше, Летает он всех выше.",Карлсон
"Красные лапки, Длинная шея, Щиплет за пятки, Беги без оглядки.",Гусь
"Внутри меня всегда ""тик-так"", И без него нельзя никак. Если тиканье собьется, Звать врача к нему придется. Если тикать прекратит, Значит, жизни путь закрыт.",Сердце
"Выгнул спинку он дугой, Замяукал. Кто такой?",Кот
Семь цветов на небе ярком Через речку кинув мост Стану я для всех подарком Растянувшись во весь рост.,Радуга
Конь бежит А шкура лежит.,река подо льдом
"Его поймаешь ты на желуди и мед, Кто книгу детскую читал, тот все поймет.",Слонопотам
"Живу во дворе, за забором, Я злая бываю лишь с вором. Плохих во двор не пускаю, Хороших людей отличаю Хозяину предана верно. Сижу на цепи - это скверно. Побегать бы мне, поразмяться, За другом своим погоняться. Но двор оставлять мне нельзя - Я сторож, работаю я.",Собака
"Он и летом, и зимой - Между небом и землей. Хоть всю жизнь к нему идти - Он все будет впереди.",Горизонт
"В нашем парке есть газоны, Расцвели там ...патефоны! Пурпурный, белый, цвета вишни... Вот только музыки не слышно.",Петуния
"На дворе горой, А в избе водой.",Снег
2 мамы 2 дочки а все вошли 3 сорочки?,Мама бабушка и дочка
"Зернышко к зернышку, деликатес. Плавает в рыбке, а на столе - без.",Игра
"Кто пасет овец и коз, Там, где луг травой зарос.",Пастух
"Я и дом украшаю, Я и пыль собираю. А меня люди топчут ногами, Да потом ещё бьют батогами.",Ковер
"Круглое, румяное, Оно растёт на ветке. Любят его взрослые, И маленькие дети.",Яблоко
Спортивную одежду Не знает лишь невежда: На теннисные корты Что надевают?,Шорты
Вы идете спать в 8 часов. Ставите будильник и просыпаетесь в 9. Сколько вы спали?,Один час
"Красное море, зелёные берега, чёрные рыбки.",Арбуз
"Бело-чёрная она, Трещит средь бело дня, Кто всё яркое ворует, И в гнездо себе несёт?",Сорока
"Я тягучий, я густой, Очень-очень сладкий. Я с секретом, не простой, Кушайте, ребятки. Я рождаюсь от нектара, От цветов, что на лугу. Я лекарственный, недаром Исцелять больных могу.",Мед
"Не рыли, не бурили, а воду добыли.",Корни
"Синий домик у ворот. Угадай, кто в нем живет. Дверца узкая под крышей - Не для белки, не для мыши, Не для вешнего жильца, Говорливого скворца. В эту дверь влетают вести, Полчаса проводят вместе. Вести долго не гостят - Во все стороны летят!",Почтовый ящик
С солью бочонок Приучен с пеленок Всегда и везде Кланяться еде.,Солонка
"Спешит по вызову отряд, Готовый разыскать снаряд И на пшеничном поле, И в транспорте, и в школе. Боец отряда очень смел - Три мины разрядить сумел.",Сапер
"В огороде перед нами Куст усыпан колпачками, Каждый пламя прячет, А кто съест - заплачет.",Перец
"Шарик над столом порхает, От ракетки убегает. Что за классная игра? Угадайте, детвора.",Теннис
Шевелились у цветка Все четыре лепестка. Я сорвать его хотел - Он вспорхнул и улетел.,Бабочка
"Два братца через дорогу живут, а друг друга не видят.",Глаза
"Это не маяк, а если у брать букву я получится получится цветок.",мак
Поднимается волна И закроет берег вскоре. Это спутник наш Луна Так притягивает море.,Прилив
"Не книжка, а с листьями.",Капуста
"Белый, синий, голубой. Появился он весной.",Подснежник
"Из них ничего невозможно украсть, Туда что-то лишь залетает порой. Тьфу! Тьфу! Чтоб не сглазить, что за напасть! Зачем тогда здесь стоит часовой?",Ворота футбольные или хоккейные
"У одного человека было 17 овец. Все, за исключением 9, разбежались. Сколько овец осталось?",Девять
"В океане темно-синем, Лапой выудив моржа, На полярной скользкой льдине Я дрейфую, не дрожа.",Белый Медведь
"Мой вопрос совсем не трудный, Он - про город Изумрудный. Кто там был правитель славный? Кто там был волшебник главный?",Гудвин
"Крыльев нет, Но эта птица Полетит - И прилунится.",Ракета
"То назад, то вперёд Ходит, бродит пароход. Остановишь — горе! Продырявит море!",утюг
Что за за гриб стоит на кочке В красном бархатном платочке?,Подосиновик
"Мы не едим его сырым, А потому в бульоне варим. Но и вареным не едим - Пакету мусорному дарим.",Лавровый лист
По синему морю Белые гуси плывут.,Облака
Белый камень в воде тает.,Сахар
"Он пыхтит, как паровоз, Важно кверху держит нос. Пошумит, остепенится - Пригласит чайку напиться.",Чайник
"Проще не было вопроса: Пушистый ""братец"" абрикоса?",Персик
"В дом чужого не пущу, Без хозяина грущу.",Собака
"Из спичек сложена фигура, похожая на детскую игрушку - неваляшку. Вам нужно переложить на другое место три спички, чтобы неваляшка превратилась в куб.",На картинке
"Возле уха завитуха, А в середке разговор.",Наушники
"На сучках висят шары, Посинели от жары.",Слива
"Я служу сейчас на флоте, Слух хороший у меня. Есть такой же и в пехоте - Дружим с рацией не зря!",Радист
"Я, как ложка, дорога к обеду. Гурману я - наипервейший друг, Но коль захочешь выгладить одежду, То без меня не включишь и утюг.",Вилка
"За деревьями, кустами Промелькнуло быстро пламя. Промелькнуло, пробежало – Нет ни дыма, ни пожара.",Лисица
"Что за друг, без которого зимой из дома не выйдешь?",Шапка
"Встаю я очень рано, ведь моя забота - Всех отвозить по утрам на работу.",Шофер
"Красные двери В пещере моей. Белые звери Сидят у дверей. И мясо,и хлеб - Всю добычу мою Я с радостью Белым зверям отдаю.","Рот, зубы"
"В тельняшках, да не моряки, Жужжат, да только не жуки, Ужалить могут, но не змеи, - Подсказок больше не имею И, думаю, и так ты знаешь, О ком загадка, и сам скажешь.",Пчёлы
"Нужно переложить одну спичку так, чтобы получилось верное равенство.",на рисунке
"Летом папа нам привез В белом ящике мороз - И теперь мороз сухой У нас и летом и зимой Бережет продукты: Мясо, рыбу, фрукты.",Холодильник
"По легенде, мой цветок Клады открывает. Говорят, что раз в году Чудо то бывает. Но скажу начистоту: Я вообще-то не цвету!",Папоротник
"На мне играют гениальные творения И мессу, и хорал, и менуэт... Но если переставить ударение, Я организма важный элемент.",Орган
"Чтобы музыку послушать И при этом не шуметь, Этим ты прикроешь уши. Что я загадал? Ответь.",Наушники
"Деревянная дорога - Вверх идет она отлого, - Что ни шаг, то овраг.",Лестница
"Ребята вышли на прогулку в лес. Навстречу им выбежал заяц, испуганно присел на задние лапы и помчался дальше. Они погнались за косым, но скоро потеряли его из виду. Найдите его на картинке.",Заяц на спине у мальчика
"Ночью не спит, мышей сторожит.",Кошка
"Сладок, нежен и воздушен. Он порою всем вам нужен. Ни одно ведь торжество Не проходит без него.",Торт
Крсная девушка по небу ходит.,Солнце
"Мы всё не свыкнемся никак, Что тот, в пушистой шапочке, - сорняк. Ведь жёлтым он в веночках так прекрасен, Девичьи головы собой украсил.",Одуванчик
"Вот так чудо! Вот так диво! Как сорвался он С обрыва, Так уже Который год Все никак Не упадет.",Водопад
У Золушки с ножки Свалилась случайно. Была не простою она А хрустальной.,Туфелька
"В нём долгих сорок пять минут звонка спасительного ждут все те, кто ранее не смог домашний выучить урок.",Класс
"Шляпа голубая, Жёлтые штанишки, В городе Цветочном - Главный хвастунишка. Рифмовать пытался Коротышка этот, Только вот не стал он Истинным поэтом. Много приключений С ним происходило, Но признаться стоит, Этот мальчик милый.",Кто же это? Отгадай-ка! Малыша зовут... Незнайка.
"Это - гибкая линейка, Ей фигуру измеряют. Вспомни, что это, скорей-ка И смелее называй.",Сантиметровая лента
Этот слон белоголовый На столе живёт в столовой.,Солонка
"Меня никогда не было,но я всегда буду. Меня нельзя увидеть, но я всегда прихожу. У меня ничего нет, но я что-то сулю?",Завтра
"Этот вкусный плод растет Там, где лето круглый год. Он как краешек луны, Все мы знать его должны.",Банан
"Не птичка, а с красивыми крыльями.",Бабочка
Грабли + Грабли + Грабли = 18 Сликер + Сликер * Грабли = 28 Сликер + 2 * Заклёпки = 14 (А дальше смотрите на картинку),22
"Буква ржет и всех катает, По весне на речке тает, Может стрелами разить И чужие слезы лить.","Л: Лошадь, Лед, Лук, Лук"
"Хоть имеет много ножек, Все равно бежать не может. Вдоль по листику ползет, Бедный листик весь сгрызет.",Гусеница
"Три рубля, а проще - трёшка, С «МА» - красивая … .",Матрёшка
"В клетке, дома, друг живет. Зёрна, семечки грызет, Любит делать он запасы, За щекой несёт припасы.",Хомячок
Мне ответ давай скорей - Африканец-муравей.,Термит
Соединить все точки на рисунке 4-мя прямыми отрезками.,"Как соединить точки, показано на рисунке."
Кто только зимой растет?,Сугроб
"Черненький, полосатенький, А в середке сладенький.",Арбуз
"На шесте - дворец, во дворце - певец.",Скворец
"Из забоя глубокого. где темно и жара, добывает он уголь, и даёт на гора.",Шахтёр
"Это дерево по моде, Осенью одели вроде, У зеленого пальто, Пуговки красны зато.",Рябина
"Я красна - не девица, Зелена - не дубрава, С хвостом - не мышь.",Морковь
"Утром ходит на четырёх ногах, В обед на двух, а вечером на трёх.","Ребёнок, взрослый, старик"
"Из-под снега расцветает, Раньше всех весну встречает.",Подснежник
"Что может разрушить корабль, но боится солнца?","айсберг, лёд"
"Входишь в одну дверь, а выходишь из трех, Думаешь, что вышел, а на самом деле зашел.",Рубашка
Загадка на картинке,"Кошечка - 15, кот - 1, мышка - 84"
"Эта птица не дневная, Эта - видит в темноте. Грозный хищник. Мышка знает: По ночам сиди в норе!",Сова или Филин
"Папа у меня - герой! Ходит в форме, с кобурой! Посреди ночного мрака Где-то кража или драка? Сразу по ""102"" звоните, Папу моего зовите!","Полицейский, милиционер"
"Не портной, а всю жизнь с иголками ходит.",Ёжик
"Красно-бурый, жёсткокрылый. Хоть вредитель — с виду милый. Начиная майский лёт, Он гудит как самолёт.",Майский жук
"Растянулась, как гармошка, Чудо-печка подокном, Обогрела нам весь дом.",Батарея
"Стоит бычище, «проклеваны» бочища.",Дом
"Бела беляна по полю гуляла, Домой пришла - в сусек легла.",Мука
А эта мускусная крыса в водице любит порезвиться.,Ондатра
"Бородатый и рогатый, Показать вам силу рад я. И сосну согнуть в дугу Я, конечно же, могу.",Зубр
"Под землей птица гнездо свила, Яиц принесла.",Картофель
"Стоит в лесу избушка, Живёт в избе старушка. Не входи в избушку: Съест тебя старушка!",Баба Яга
